id,name,pts,ast,rb,last_game
g_ante,Giannis Antetokounmpo,28.1,5.9,11,"“50 pts,2 ast,14 reb,5 blk”"
k_midd,Khris Middleton,20.4,5.4,6,"“17 pts,5 ast,5 reb,4 stl”"
j_holi,Jrue Holiday,17.7,6.1,4.5,"“12 pts,11 ast,9 reb,4 stl”"
b_port,Bobby Portis,11.4,1.1,7.1,"“16 pts,3 reb,1 blk”"
b_lope,Brook Lopez,12.3,0.7,5,"“10 pts,8 reb,1 stl”"
p_tuck,P.J. Tucker,2.6,0.7,2.8,"“1 ast,6 reb,1 stl”"
p_conn,Pat Connaughton,7.5,1.4,4.4,"“1 ast,8 reb”"
m_diak,Mamadi Diakite,3.1,0.6,2.4,“1 stl”
j_jack,Justin Jackson,9,1,6,“1 reb”
j_nwor,Jordan Nwora,3,0.2,1.8,"“3 pts,1 reb”"
b_forb,Bryn Forbes,10,0.6,1.6,“4 min”
a_toup,Axel Toupane,1.8,0.5,0.8,“3 pts”
e_brya,Elijah Bryant,16,3,6,“1 min”
s_merr,Sam Merrill,3,0.7,1,“1 min”
t_ante,Thanasis Antetokounmpo,2.9,0.8,2.2,“3 reb”
j_teag,Jeff Teague,6.6,2.8,1.5,“2 min”
